month,equity_first,equity_last,monthly_return,monthly_return_pct,trade_count,win_count,gross_profit,gross_loss,profit_factor,win_rate,win_rate_pct,setup_group,group_name
2020-06,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2020-07,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2020-08,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2020-09,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2020-10,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2020-11,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2020-12,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-01,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-02,995051.79,995051.79,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-03,995051.79,992566.39,-0.0024977594382298296,-0.25%,1,0,0.0,-2485.4,0.0,0.0,0.00%,NORMAL_SETUP,RR0.DCE
2021-04,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-05,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-06,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-07,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-08,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-09,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-10,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-11,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2021-12,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-01,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-02,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-03,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-04,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-05,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-06,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-07,992566.39,992566.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-08,992566.39,992416.39,-0.00015112339236067474,-0.02%,1,0,0.0,-150.0,0.0,0.0,0.00%,NORMAL_SETUP,RR0.DCE
2022-09,992416.39,992416.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-10,992416.39,992416.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-11,992416.39,992416.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2022-12,992416.39,992416.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
2023-01,992416.39,992416.39,0.0,0.00%,0,0,0.0,0.0,,,,NORMAL_SETUP,RR0.DCE
